Cow_ID,Day,Breed,Months after giving birth,Previous_Mastits_status,IUFL,EUFL,IUFR,EUFR,IURL,EURL,IURR,EURR,Temperature,Hardness,Pain,Milk_visibility
cow686,4,Jersey,2,1,156,195,331,256,133,250,242,175,58,1,0,0
cow629,3,Jersey,2,1,197,192,337,233,312,345,278,207,44,0,0,1
cow54,1,Jersey,5,0,135,348,322,380,196,310,182,328,25,0,1,0
cow997,5,Jersey,1,0,321,184,200,299,260,353,224,336,53,0,1,1
cow468,1,Jersey,5,1,288,170,181,392,327,214,250,197,57,1,1,1
cow610,3,Jersey,3,0,217,271,277,301,182,228,133,356,43,0,1,1
cow1007,2,Jersey,2,0,277,269,311,254,173,157,219,192,35,1,1,1
cow267,1,Jersey,3,1,281,171,201,291,260,305,261,181,58,1,1,0
cow970,4,Jersey,1,0,285,204,201,318,325,235,199,276,43,1,1,0
cow1057,1,Jersey,3,0,257,259,140,357,237,352,265,240,27,1,0,0
cow1082,5,Jersey,1,1,196,193,194,166,164,316,271,289,57,0,0,1
cow834,3,Jersey,3,1,221,288,211,347,174,187,171,202,57,0,0,1
cow450,1,Jersey,5,1,285,230,190,270,238,249,173,322,58,0,1,0
cow604,2,Jersey,1,1,249,190,262,298,240,169,184,266,32,0,0,0
cow998,2,Jersey,4,0,210,185,312,287,185,334,293,165,39,0,1,1
cow1083,5,Jersey,6,0,183,241,193,212,303,152,311,303,57,1,0,1
cow230,2,Jersey,3,1,242,163,337,318,141,320,216,232,44,1,1,0
cow713,6,Jersey,3,0,259,339,246,195,312,307,167,337,50,0,0,0
cow744,4,Jersey,3,0,219,343,296,320,312,343,164,316,35,0,0,0
cow1072,6,Jersey,3,1,217,255,281,182,208,203,147,254,53,0,0,1
cow325,6,Jersey,4,0,160,290,198,255,260,229,284,313,37,0,1,0
cow1021,5,Jersey,4,0,280,342,196,164,175,270,124,301,35,1,1,0
cow1067,2,Jersey,2,0,222,217,147,368,137,318,263,328,53,1,0,1
cow16,6,Jersey,5,1,149,299,252,203,237,363,237,262,24,0,0,0
cow523,5,Jersey,5,1,169,336,153,322,251,216,260,153,37,1,0,0
cow765,6,Jersey,3,0,244,187,242,269,185,210,203,246,51,1,1,0
cow340,3,Jersey,4,1,268,297,343,185,263,356,311,195,49,0,1,0
cow428,5,Jersey,2,1,189,329,315,224,240,302,244,340,41,0,1,0
cow710,5,Jersey,3,0,163,359,202,317,153,323,231,269,35,0,1,0
cow1048,6,Jersey,4,1,304,366,171,256,149,165,165,290,39,1,1,1
cow995,1,Jersey,6,1,242,235,230,320,284,367,189,218,29,1,1,0
cow478,3,Jersey,5,0,290,213,305,244,178,206,166,241,50,1,0,1
cow577,6,Jersey,4,0,181,199,245,189,182,161,209,338,51,1,0,1
cow266,6,Jersey,5,1,200,154,253,392,263,281,249,235,56,1,0,1
cow176,2,Jersey,4,1,246,217,307,205,233,196,182,198,34,0,1,1
cow1042,4,Jersey,4,0,239,255,285,152,210,232,205,274,34,1,0,1
cow216,3,Jersey,6,1,197,308,192,216,245,326,283,238,33,0,0,0
cow47,6,Jersey,6,0,266,300,292,281,228,359,208,181,58,1,0,1
cow378,2,Jersey,2,0,235,292,321,303,252,163,263,318,45,0,0,1
cow502,3,Jersey,1,0,173,371,200,367,196,294,130,329,46,0,1,1
cow250,4,Jersey,4,1,144,336,315,317,303,204,133,189,39,1,0,1
cow967,2,Jersey,5,0,151,253,223,283,263,290,300,205,31,1,1,1
cow186,5,Jersey,6,0,277,365,187,260,321,193,238,213,38,1,0,0
cow815,4,Jersey,4,1,225,217,234,266,267,334,230,316,51,1,1,1
cow884,5,Jersey,5,0,217,243,307,236,214,333,265,355,28,0,1,1
cow664,5,Jersey,5,0,272,170,285,298,277,269,270,272,54,1,1,1
cow730,1,Jersey,1,1,218,173,262,351,137,170,264,152,31,0,0,1
cow244,5,Jersey,3,1,297,209,172,344,157,239,130,315,28,1,1,1
cow515,1,Jersey,1,0,311,342,301,349,253,232,205,211,46,1,1,0
cow618,6,Jersey,6,0,176,276,265,230,181,166,220,276,26,1,0,1
cow882,4,Jersey,2,1,308,156,192,314,280,158,179,202,30,0,0,1
cow413,6,Jersey,4,0,198,323,141,272,279,316,121,340,24,1,1,1
cow465,6,Jersey,2,0,309,356,342,197,181,312,132,297,40,1,0,1
cow895,3,Jersey,4,1,216,282,331,352,150,171,289,163,30,1,1,1
cow787,6,Jersey,4,1,155,161,245,170,252,273,172,237,27,0,1,1
cow776,4,Jersey,5,1,265,303,156,389,298,310,268,288,36,0,0,1
cow298,5,Jersey,6,1,295,169,204,282,130,222,224,167,37,1,0,0
cow809,4,Jersey,4,0,182,222,325,351,187,198,127,310,40,1,1,1
cow939,4,Jersey,6,1,222,350,286,279,177,372,157,211,40,1,1,1
cow842,5,Jersey,2,0,194,273,147,358,156,223,282,228,39,1,1,1
cow504,3,Jersey,5,1,243,318,278,340,180,309,305,220,34,0,0,1
cow18,3,Jersey,5,1,313,262,186,208,293,328,183,178,34,1,1,1
cow182,1,Jersey,2,1,265,343,193,380,190,336,293,333,42,1,0,0
cow65,3,Jersey,4,1,188,163,190,344,301,294,232,162,28,0,1,1
cow697,3,Jersey,6,1,268,245,181,233,247,241,295,286,39,1,0,0
cow743,2,Jersey,4,1,135,238,160,308,303,211,260,213,50,1,1,0
cow146,4,Jersey,4,1,268,319,140,197,312,180,186,250,37,0,0,1
cow908,2,Jersey,5,1,290,266,271,270,160,230,224,151,24,0,0,0
cow698,5,Jersey,2,0,302,279,164,283,205,372,182,360,51,1,0,1
cow380,1,Jersey,1,1,321,163,225,221,211,204,192,343,58,1,1,1
cow690,6,Jersey,3,0,130,153,304,313,289,355,217,269,32,0,0,0
cow631,1,Jersey,1,0,302,243,186,319,186,261,148,173,35,0,0,0
cow274,5,Jersey,2,0,180,191,316,328,140,273,204,151,31,1,0,0
cow687,1,Jersey,6,0,183,252,149,302,266,261,183,347,44,1,0,0
cow866,2,Jersey,2,1,262,310,313,263,243,184,225,355,24,1,0,0
cow249,1,Jersey,1,1,202,224,288,317,149,160,282,355,53,1,0,1
cow510,2,Jersey,2,0,138,364,263,297,139,234,218,240,52,1,1,1
cow1082,4,Jersey,5,0,220,259,254,232,143,252,152,337,48,0,0,1
cow583,3,Jersey,3,0,222,361,148,159,309,291,153,232,25,1,1,1
cow268,5,Jersey,6,1,173,274,283,298,200,321,123,156,54,1,0,1
cow200,5,Jersey,6,1,237,315,183,266,241,305,234,232,32,0,0,0
cow592,2,Jersey,2,0,176,294,324,189,262,287,165,275,44,0,0,0
cow1042,4,Jersey,4,1,199,253,210,369,142,267,291,214,47,1,1,0
cow803,1,Jersey,1,0,303,287,213,189,235,318,244,313,38,1,0,0
cow951,5,Jersey,3,1,229,251,264,177,281,358,245,167,26,1,1,0
cow664,1,Jersey,5,0,267,287,236,363,320,221,154,290,39,0,1,1
cow415,6,hostlene,6,0,274,177,241,391,247,196,304,216,46,0,0,0
cow626,1,Jersey,6,0,223,197,171,390,203,233,218,225,47,0,1,1
cow328,5,Jersey,4,0,141,174,335,315,209,331,184,299,27,1,0,1
cow519,1,Jersey,4,1,240,365,152,267,232,369,206,274,52,0,1,0
cow720,6,Jersey,6,1,228,255,307,377,260,217,178,171,54,1,0,1
cow224,5,Jersey,2,1,309,209,186,273,279,253,289,254,45,1,0,0
cow414,4,Jersey,5,0,165,372,250,154,186,306,143,308,38,0,1,1
cow113,2,Jersey,5,1,256,220,215,205,204,182,147,264,31,0,0,1
cow762,5,Jersey,6,1,281,208,149,287,156,156,132,351,54,0,1,1
cow768,1,Jersey,4,1,249,188,201,387,317,352,260,224,37,1,0,0
cow198,5,Jersey,4,1,265,290,140,166,252,242,301,318,31,0,0,1
cow313,3,Jersey,3,1,154,309,130,344,214,344,145,302,25,0,1,0
cow926,5,Jersey,6,0,160,178,293,379,142,326,268,167,31,1,1,1
cow284,2,Jersey,5,0,142,157,164,230,327,232,236,187,39,1,0,0
cow286,6,Jersey,1,1,289,320,297,366,224,280,128,243,33,1,0,0
cow720,6,Jersey,3,1,309,367,147,287,289,218,146,355,36,1,0,0
cow946,2,Jersey,6,0,266,198,180,329,170,204,237,308,54,1,0,1
cow517,6,Jersey,1,1,277,221,313,254,294,332,224,212,46,1,1,0
cow1058,2,Jersey,1,1,224,330,148,152,248,236,162,257,49,0,1,0
cow78,5,Jersey,5,0,209,344,188,307,177,321,266,236,44,0,1,1
cow897,2,Jersey,4,1,312,361,191,330,304,238,141,291,36,1,1,1
cow94,1,Jersey,3,0,269,164,324,167,309,199,265,307,58,0,0,0
cow530,1,Jersey,4,0,284,283,290,380,251,271,313,218,58,1,0,1
cow541,6,Jersey,5,1,140,220,286,177,174,152,171,357,48,0,0,0
cow604,2,Jersey,5,1,141,291,277,267,326,271,241,243,36,1,1,0
cow586,1,Jersey,1,1,275,347,331,343,204,266,282,174,25,1,1,0
cow20,2,Jersey,5,0,157,273,171,340,283,317,208,328,36,1,1,1
cow818,4,Jersey,2,0,131,355,162,356,162,267,269,313,53,0,1,0
cow6,2,Jersey,3,1,263,250,287,184,257,189,200,242,31,0,0,0
cow187,2,Jersey,1,0,158,366,219,219,207,261,229,207,55,1,1,1
cow364,5,Jersey,5,1,322,157,217,295,239,191,159,279,34,0,1,0
cow747,2,Jersey,3,0,244,356,172,375,280,180,200,203,54,1,0,0
cow687,4,Jersey,4,0,184,332,198,364,326,285,225,251,25,0,0,0
cow187,4,Jersey,4,1,282,342,183,187,324,201,277,286,35,1,0,0
cow504,5,Jersey,1,1,279,241,303,333,317,246,245,222,38,1,0,0
cow154,4,Jersey,6,1,169,302,262,191,322,162,150,203,47,1,0,1
cow196,5,Jersey,6,0,172,349,155,311,276,309,276,271,48,0,0,0
cow694,4,Jersey,3,1,311,180,130,274,171,360,204,318,43,0,0,1
cow478,3,Jersey,3,1,210,175,180,171,234,204,309,184,32,0,1,0
cow505,4,Jersey,4,1,266,188,145,216,314,312,222,199,51,1,1,0
cow213,2,hostlene,5,0,189,223,165,231,284,211,124,189,45,1,1,1
cow486,6,Jersey,6,1,250,292,300,200,272,358,129,287,44,1,0,1
cow193,1,Jersey,5,0,236,207,284,342,237,340,188,216,49,1,0,1
cow909,4,Jersey,3,0,293,271,152,326,304,372,121,189,54,1,1,1
cow994,1,Jersey,1,1,144,326,320,175,157,159,183,240,26,0,0,1
cow336,1,Jersey,3,0,296,291,338,163,170,359,274,346,29,0,0,1
cow506,5,Jersey,3,0,260,278,228,330,153,224,208,269,55,1,0,0
cow988,3,Jersey,2,0,221,319,220,321,183,246,260,242,43,1,1,1
cow206,4,Jersey,3,1,177,305,202,224,284,371,290,163,46,1,0,0
cow759,3,Jersey,3,0,222,302,230,355,300,238,210,230,42,1,0,0
cow228,2,Jersey,4,0,159,186,339,302,204,174,202,211,49,1,0,0
cow987,4,Jersey,6,1,179,215,173,190,313,342,278,222,52,1,1,0
cow572,3,Jersey,6,0,320,325,293,290,300,270,147,282,51,0,1,1
cow206,2,Jersey,3,1,223,203,163,180,180,189,138,360,38,0,1,1
cow833,6,Jersey,1,1,209,211,160,310,155,356,192,218,36,1,1,1
cow385,3,Jersey,2,1,260,282,133,261,322,160,225,221,27,0,0,0
cow1038,5,Jersey,6,0,153,217,273,321,145,260,144,252,29,0,0,0
cow984,6,Jersey,5,0,178,183,238,198,198,322,282,227,39,1,1,1
cow279,2,Jersey,1,0,149,344,158,378,283,232,170,172,51,0,1,0
cow909,1,Jersey,6,0,181,174,180,201,250,184,175,195,52,0,0,0
cow110,6,Jersey,1,0,290,362,131,268,149,172,311,328,40,0,1,1
cow126,4,Jersey,4,1,147,323,306,183,297,175,174,344,46,1,0,1
cow544,2,Jersey,3,0,195,268,201,263,294,298,248,256,36,1,0,1
cow173,4,Jersey,5,0,214,281,221,299,256,210,289,246,55,1,1,1
cow854,3,Jersey,4,0,296,355,180,361,191,170,274,189,33,0,1,0
cow1024,4,Jersey,2,1,289,273,218,341,323,219,311,171,57,0,1,0
cow703,6,Jersey,2,1,251,285,242,152,173,372,263,255,58,0,1,0
cow512,2,Jersey,2,0,203,277,229,337,233,196,196,272,42,1,1,0
cow661,6,Jersey,5,0,156,332,132,224,156,321,204,160,27,0,0,0
cow532,1,Jersey,4,1,167,159,316,340,278,222,157,234,47,0,1,0
cow1024,5,Jersey,2,0,161,239,287,382,161,304,191,168,42,1,0,1
cow202,1,Jersey,1,1,134,305,326,223,218,184,293,185,26,0,0,1
cow617,3,Jersey,2,1,273,174,304,329,237,315,182,329,40,1,1,1
cow681,3,Jersey,6,0,174,164,318,390,315,188,186,315,42,0,0,1
cow777,2,Jersey,5,1,288,158,218,164,282,260,139,291,37,1,0,1
cow1046,3,Jersey,6,1,169,265,284,378,175,319,201,278,35,1,1,0
cow613,6,Jersey,2,0,195,359,190,249,218,336,289,331,42,0,1,1
cow1004,6,Jersey,1,1,293,224,286,239,182,253,187,212,34,1,1,0
cow430,5,Jersey,5,0,137,277,243,160,291,252,124,155,48,1,0,1
cow563,5,Jersey,1,0,162,299,180,358,194,246,170,328,27,0,0,0
cow1002,3,Jersey,1,1,196,190,278,296,309,364,315,311,26,1,1,1
cow426,3,Jersey,3,0,233,167,334,271,184,238,164,349,36,1,0,0
cow274,3,Jersey,5,1,225,318,130,348,295,371,267,235,50,1,0,0
cow3,4,Jersey,2,1,222,185,314,215,174,369,165,190,25,1,1,1
cow10,6,Jersey,1,1,211,170,174,259,142,325,289,274,35,0,0,1
cow943,6,Jersey,5,1,156,349,131,194,284,153,313,250,52,1,1,1
cow661,2,Jersey,3,0,232,213,243,237,168,370,311,186,44,1,0,1
cow274,3,Jersey,6,1,305,187,155,364,319,177,231,218,57,0,1,0
cow305,4,Jersey,2,0,165,229,253,331,153,235,268,281,49,0,0,1
cow444,1,Jersey,6,1,182,328,199,307,189,273,151,171,36,1,1,1
cow946,3,Jersey,2,0,289,242,198,261,318,190,226,191,39,1,0,1
cow563,6,Jersey,6,1,178,318,190,267,294,153,245,357,39,1,0,1
cow938,6,Jersey,5,1,213,193,324,174,136,251,257,233,55,1,0,0
cow980,6,Jersey,1,1,289,161,186,162,202,329,137,309,28,0,1,1
cow255,5,Jersey,5,0,306,217,286,388,239,371,271,224,30,1,0,0
cow694,6,Jersey,1,1,184,285,172,289,239,339,278,192,24,1,0,0
cow227,2,Jersey,3,1,228,220,213,381,206,346,210,218,34,0,1,0
cow852,2,Jersey,1,0,278,296,294,358,227,185,299,315,41,1,1,0
cow281,6,Jersey,1,0,163,286,144,232,314,279,279,168,41,0,1,0
cow2,5,Jersey,5,1,233,300,295,376,261,275,123,206,32,1,1,0
cow733,1,Jersey,1,0,264,326,283,232,296,167,229,260,58,0,0,1
cow775,6,Jersey,3,0,275,319,292,182,189,342,189,279,34,1,0,0
cow585,2,Jersey,6,0,188,283,317,389,292,364,298,200,57,0,1,1
cow258,6,Jersey,6,0,286,360,334,354,323,181,134,311,28,1,1,1
cow438,5,Jersey,5,1,295,210,293,198,177,276,302,229,24,0,0,0
cow121,2,Jersey,4,0,306,345,139,332,261,310,162,350,57,0,1,1
cow179,1,Jersey,6,1,269,278,341,356,297,210,203,152,52,1,0,1
cow162,1,Jersey,5,1,251,324,309,373,309,260,264,308,28,0,0,0
cow191,2,hostlene,1,0,144,154,235,329,147,299,277,163,56,0,0,0
cow246,3,Jersey,3,0,321,231,192,375,252,235,264,296,31,1,1,0
cow568,2,Jersey,5,0,218,177,327,387,300,338,182,340,36,0,0,1
cow568,2,Jersey,1,1,269,364,304,213,158,220,203,162,56,0,1,1
cow145,3,Jersey,4,1,278,370,335,244,209,366,236,292,24,1,1,1
cow10,5,Jersey,3,1,185,199,242,364,207,273,274,284,42,0,1,1
cow413,5,Jersey,6,0,235,160,180,239,253,351,299,359,30,1,1,1
cow1026,3,Jersey,6,1,173,291,156,234,171,198,192,185,33,1,1,1
cow701,4,Jersey,2,0,223,253,160,281,290,310,143,189,42,0,0,1
cow895,3,Jersey,5,0,192,213,142,222,246,344,187,276,31,0,1,1
cow241,5,Jersey,1,1,154,342,257,155,252,338,136,283,55,0,0,0
cow358,2,Jersey,4,0,224,242,304,317,215,214,310,343,27,0,1,0
cow229,1,Jersey,4,0,321,345,269,226,324,315,234,315,54,1,1,1
cow1031,6,Jersey,2,0,262,350,202,324,176,270,186,262,49,1,0,0
cow785,6,Jersey,4,1,274,333,174,188,253,305,165,349,38,1,0,1
cow830,6,Jersey,6,1,284,179,240,263,234,196,124,168,55,1,1,0
cow722,2,Jersey,6,0,182,267,217,292,327,281,147,280,32,0,0,1
cow360,3,Jersey,2,0,252,324,160,392,277,177,198,349,25,0,1,0
cow560,3,Jersey,4,0,303,210,141,382,158,332,264,212,31,0,0,1
cow992,1,Jersey,2,0,311,300,298,350,209,245,175,207,53,1,0,1
cow558,3,Jersey,6,0,217,171,131,237,198,343,248,202,41,0,1,0
cow369,5,Jersey,1,0,281,341,132,356,188,294,172,161,28,0,1,0
cow101,4,Jersey,6,1,221,267,260,264,135,286,219,344,56,0,0,1
cow198,6,Jersey,6,0,141,277,203,316,198,179,207,348,45,1,1,1
cow308,5,Jersey,5,1,206,367,332,302,225,174,146,264,44,1,0,1
cow932,6,Jersey,3,0,146,232,324,233,323,163,143,278,43,0,0,0
cow878,4,Jersey,5,1,184,198,212,254,308,345,214,244,27,1,1,1
cow252,2,Jersey,5,0,320,322,144,236,214,212,243,194,34,1,0,1
cow405,5,Jersey,6,0,298,357,186,361,230,322,133,298,33,0,1,0
cow916,4,Jersey,2,1,188,330,227,153,155,328,216,230,52,0,0,0
cow19,5,Jersey,5,0,169,323,242,393,155,278,183,318,47,0,1,0
cow834,3,Jersey,3,1,179,259,285,201,321,253,293,210,28,1,1,1
cow615,1,Jersey,6,0,196,259,337,167,225,190,236,287,25,0,0,0
cow166,3,Jersey,5,0,207,163,135,164,314,322,251,186,37,0,0,1
cow152,6,Jersey,3,0,160,169,142,360,246,157,128,328,32,1,1,0
cow107,4,Jersey,6,1,300,365,151,184,199,348,269,174,34,1,0,1
cow1040,4,Jersey,1,0,176,185,139,199,326,242,149,260,34,0,0,0
cow390,2,Jersey,5,1,155,238,295,181,254,299,224,289,38,0,0,0
cow512,4,Jersey,3,0,252,171,317,336,221,370,272,152,25,1,1,1
cow888,1,Jersey,6,0,197,226,281,379,327,286,168,228,51,1,1,0
cow421,4,Jersey,5,0,294,178,334,301,152,281,226,324,32,0,1,1
cow904,2,Jersey,1,0,226,257,181,256,243,279,172,199,44,1,0,1
cow367,4,Jersey,1,0,213,189,241,371,237,218,154,297,36,1,0,0
cow100,3,Jersey,6,1,153,154,198,167,322,170,234,353,52,1,1,0
cow383,1,Jersey,3,0,296,178,293,258,263,248,274,231,42,0,0,1
cow859,2,Jersey,2,0,254,357,311,174,209,366,197,228,49,0,1,1
cow286,5,Jersey,5,1,225,177,207,247,262,300,309,358,37,1,1,0
cow488,6,Jersey,6,1,233,369,341,206,216,239,122,349,44,1,0,0
cow980,2,Jersey,1,1,218,191,289,378,159,290,191,356,50,1,0,0
cow242,4,Jersey,2,0,142,293,333,292,155,274,136,346,25,1,0,0
cow918,2,Jersey,3,0,176,303,210,225,258,371,197,232,26,0,1,0
cow364,3,Jersey,4,0,229,275,225,341,213,166,128,336,27,0,1,1
cow296,6,Jersey,1,0,130,257,242,195,177,356,250,231,38,1,1,1
cow124,1,Jersey,5,0,266,342,255,269,228,260,313,223,58,0,1,0
cow687,6,Jersey,1,1,265,349,263,266,241,199,208,168,45,1,0,1
cow830,5,Jersey,3,1,143,206,180,271,249,177,246,251,51,1,0,0
cow786,1,Jersey,3,1,275,166,303,258,298,173,140,215,35,1,0,1
cow846,1,Jersey,6,0,275,337,162,350,266,199,159,168,37,1,1,1
cow691,4,Jersey,3,0,239,176,186,235,206,272,231,246,50,0,0,1
cow855,5,Jersey,4,0,131,241,337,216,181,349,295,269,48,0,0,1
cow533,6,Jersey,3,0,199,344,158,317,232,365,236,169,29,1,0,1
cow1008,2,Jersey,3,1,179,166,323,266,260,191,127,263,44,0,1,1
cow37,4,Jersey,1,1,197,181,295,230,212,292,230,214,33,0,0,1
cow850,1,Jersey,6,1,265,305,204,393,283,269,180,233,35,0,1,1
cow401,5,Jersey,5,0,141,335,173,286,189,361,279,187,32,1,0,1
cow816,1,Jersey,1,1,236,357,336,286,273,358,290,159,53,0,1,0
cow888,1,Jersey,5,0,261,319,227,163,156,313,228,352,45,0,1,1
cow914,4,Jersey,5,0,268,306,249,199,214,153,211,349,33,1,0,1
cow415,5,Jersey,4,0,297,170,130,216,164,344,247,158,44,1,1,1
cow725,6,Jersey,3,0,279,356,130,273,281,196,185,198,51,1,1,1
cow301,2,Jersey,2,1,175,155,296,188,135,211,237,215,55,0,0,1
cow919,4,hostlene,2,1,167,258,246,381,215,251,133,292,37,1,1,0
cow75,3,Jersey,5,0,168,342,196,345,317,199,125,288,25,0,0,0
cow491,5,Jersey,6,1,258,302,248,249,178,265,268,321,27,1,0,0
cow29,4,Jersey,1,1,173,165,258,191,173,216,171,304,44,1,0,0
cow329,1,Jersey,6,1,254,301,264,385,191,232,280,315,57,1,0,0
cow930,2,Jersey,3,0,273,331,203,169,161,239,213,231,26,0,1,1
cow961,6,Jersey,2,1,156,249,215,343,315,153,263,343,49,0,0,0
cow815,5,Jersey,6,1,157,187,234,266,149,182,282,322,37,0,0,0
cow53,2,Jersey,3,0,268,363,316,355,223,234,127,297,35,1,1,0
cow686,1,Jersey,6,1,300,309,268,186,304,239,303,177,42,1,0,1
cow548,1,Jersey,5,1,198,177,167,256,253,192,247,187,29,0,1,0
cow594,6,Jersey,6,0,233,317,327,333,295,237,142,304,50,1,1,0
cow494,1,Jersey,5,0,287,313,262,287,274,246,198,197,58,1,1,0
cow362,1,Jersey,2,0,225,248,286,274,163,345,203,189,47,1,0,1
cow8,4,Jersey,3,1,310,280,246,330,270,166,152,294,25,0,0,1
cow233,3,Jersey,6,1,151,237,158,258,273,209,315,314,58,1,1,1
cow171,6,Jersey,2,1,169,326,313,245,174,168,298,312,32,1,0,0
cow321,1,Jersey,2,1,228,248,307,299,233,277,121,200,43,0,0,1
cow879,1,Jersey,5,0,281,312,244,368,241,302,232,356,26,0,1,0
cow803,6,Jersey,6,0,175,273,278,218,166,306,245,201,58,1,0,1
cow557,1,Jersey,6,1,311,252,269,235,156,163,172,247,50,0,1,0
cow995,1,Jersey,4,1,229,344,271,361,141,184,182,179,24,1,1,0
cow562,2,Jersey,5,1,230,194,219,357,138,353,141,214,35,0,1,0
cow734,4,Jersey,4,1,175,280,171,161,320,192,158,207,52,0,1,1
cow693,1,Jersey,6,0,136,182,215,235,163,304,189,276,40,0,0,1
cow1065,3,Jersey,4,0,251,158,266,338,150,284,129,153,54,0,0,1
